title,content,option_a,option_b,option_c,option_d,option_e,correct_answer,category,difficulty,year,hint,solution_idea,explanation,tags,is_active
C Q.093,"char a[4][5]={""1110"",""1010"",""0011"",""1110""};
char w[7],j=0;
for (int i=0; i<4; i++)
w[j++] = a[i][i];
w[j] = '\0';
printf(""%s"", w);
輸出為何？",1110,1010,0101,1101,以上皆非或程式錯誤,B,陣列,medium,,,,"這段程式把二維字元陣列的主對角線元素（a[0][0], a[1][1], a[2][2], a[3][3]）依序串接起來，結果是 ""1010""。","C程式,程式識讀,陣列",True
C Q.094,"char a[3][5]={""abcd"",""pqrs"",""1234""};
char s[20];
int k=0;
for (int i=0; i<4; i++) {
for (int j=0; j<3; j++) {
s[k++] = a[j][i];
}
}
s[k] = '\0';
printf(""%s"", s);
輸出為何？",abcdpqrs1234,aaaapppp1111,aq3br4cs1dp2,ap1bq2cr3ds4,以上皆非或程式錯誤,D,陣列,medium,,,,"這段程式依照 column-major（欄優先）的順序把字串陣列串接起來：先取每個字串的第 0 個字元、再取第 1 個字元，以此類推。結果是 ""ap1bq2cr3ds4""。","C程式,程式識讀,陣列",True
C Q.095,"char *f(char *s, char d, char *t){
int i=0;
while (*s && *s!=d) {
*t = *s;
t++, s++;
}
*t = '\0';
return (*s)? s+1: NULL;
}
以下程式
char a[20]=""13/1,4/;/xy"", w[9][9];
char *p = a;
int i=0
while (p) {
p = f(p,'/',w[i++]);
}
for (i--; i>=0; i--)
printf(""%s"", w[i]);
輸出為何？",1314xy,"131,4;xy","xy;1,413","yx;4,131",以上皆非或程式錯誤,C,指標,hard,,,,"函數 f 把字串 s 依照分隔字元 d 切開，每次呼叫會把切出來的片段存進陣列 w 並回傳分隔符號之後的剩餘位置（若已無更多內容則回傳 NULL）。字串 ""13/1,4/;/xy"" 依序被切成 ""13""、""1,4""、"";""、""xy"" 四段，最後反序印出（因為迴圈是從最後一個索引往回印）得到 ""xy;1,413""。","C程式,指標,程式識讀",True
C Q.096,"char a[4][11]={""0110001101"",
""1011101101"",
""1101110111"",
""1100100010""};
int f(int i,int j) {
if (a[i][j] == '0') return 0;
a[i][j] = '0';
int cnt = 1;
int dr[4]={0,1,0,-1}, dc[4]={1,0,-1,0};
for (int d=0; d<4; d++) {
int r=i+dr[d], c=j+dc[d];
if (r<0 || r>3 || c<0 ||c >9) continue;
cnt += f(r,c);
}
return cnt;
}
則依序呼叫 f(1,3),f(0,3),f(2,9),f(0,2)的回傳
值分別為何？",9 1 9 9,10 0 5 0,9 0 10 9,9 0 10 0,以上皆非或程式錯誤,D,遞迴,hard,,,,"這是標準的深度優先搜尋（DFS）：以上下左右相連的 ""1"" 為一個連通區塊，計算其大小；走過的位置會被標記成 ""0"" 避免重複計算，所以後面呼叫的區塊大小會受到前面呼叫的影響。依序呼叫 f(1,3)、f(0,3)、f(2,9)、f(0,2) 得到 9, 0, 10, 0（f(0,3) 和 f(0,2) 所在的格子都已被 f(1,3) 走過，因此回傳 0）。","C程式,程式識讀,遞迴",True
C Q.097,"int a[9]={3,4,2,7,0,8,1,3,2};
void f(int le, int ri) {
if (le >= ri) return;
int p = le;
for (int i=le+1; i<ri; i++) {
if (a[i] < a[p]) p = i;
}
printf(""%d "", a[p]);
f(le, p);
f(p+1, ri);
}
以f(0,9)呼叫的輸出為何？",0 1 2 2 3 3 4 7 8,0 2 3 4 7 1 8 2 3,0 2 3 4 7 1 2 3 8,0 2 3 4 7 1 8 3 2,以上皆非或程式錯誤,B,遞迴,hard,,,,"這是分治法的標準寫法：在區間中找出最小值並印出，再遞迴處理最小值左右兩側的子區間。依此規則模擬整個過程，輸出依序為 ""0 2 3 4 7 1 8 2 3""。","C程式,程式識讀,遞迴",True
C Q.098,"int a[8]={0,3,6,9,12,15,18,20};
int b(int x):
int le=0, ri=7;
while (le < ri) {
int mid = (le+ri)/2;
if (x == a[mid]) return mid;
if (x < a[mid])
ri = mid-1;
else
le = mid;
}
return le;
}
以下呼叫與結果何者錯誤？",b(-1)回傳0,b(5)回傳2,b(18)回傳6,b(30)程式不會正常結束,以上選項皆無錯誤,B,程式理解,hard,,,,這是一個寫壞的二分搜尋：當搜尋值大於中間值時，程式把左界設成 le=mid（而不是 mid+1），當 le 與 ri 只差 1 時 mid 會等於 le，導致左右界永遠不會再改變，形成無窮迴圈。只有搜尋值不大於中間值的情況（在陣列中找到、或小於陣列中所有值）才能正常結束。逐一驗證後，只有 (B) b(5) 會因此陷入無窮迴圈，並不會正常回傳 2。,"C程式,程式理解,程式識讀",True
C Q.099,"float low=1.0, up=2.0, x=2.0;
float eps = 0.0001;
int cnt = 0;
while (up - low > eps) {
cnt++;
float mid = (low+up)/2;
if (mid*mid > x)
up = mid;
else low = mid;
}
printf(""%f, %d"", low,cnt);
此程式計算根號 2 的近似值，其中 cnt 的值是迴
圈的次數，也表示程式的效率。cnt最後輸出的值
在下列何範圍？",0 ~ 50,51 ~ 100,101 ~ 500,501 ~ 1000,1000以上,A,時間複雜度,medium,,,,這是二分搜尋法逼近根號 2：搜尋區間寬度為 1，要縮小到誤差 0.0001 以下，大約需要 log2(1/0.0001)≈14 次即可，遠小於 50 次。,"C程式,時間複雜度,程式識讀",True
C Q.100,"int a=0,i,j;
for (i=0; i<n; i++) {
for (j=0; j<m; j++)
a += i+j;
}
此程式片段的時間複雜度以 m,n 表示為下列何
者？",O(m+n),O(mn),O(m/n),O(m2+n2),以上皆非,B,時間複雜度,easy,,,,雙層迴圈，外層跑 n 次、內層跑 m 次，總執行次數為 m*n，時間複雜度為 O(mn)。,"C程式,時間複雜度,程式識讀",True
C Q.101,"int len(char s[]) {
int i=0;
while (s[i]!='\0') i++;
return i;
}
char a[N],b[N]; // 假設N已經定義且足夠大
scanf(""%s"", a);
for (int i=0; i<len(a); i++) {
b[i] = a[i];
}

若輸入字串 a 的長度是 n，此程式片段的時間複
雜度以n表示為下列何者？",O(n),O(nlog(n)),O(n2),O(n3),以上皆非,C,時間複雜度,medium,,,,在沒有編譯器優化的情況下，len(a) 每次呼叫都要花費 O(n) 的時間走訪整個字串，而外層迴圈又會呼叫 n 次 len(a)，因此總時間複雜度是 O(n)*O(n)=O(n^2)。,"C程式,時間複雜度,程式識讀",True
C Q.102,"int f(int a[], int i, int v) {
if (i < 0) return abs(v-100);
int x = f(a,i-1,v+a[i]);
int y = f(a,i-1,v);
return (x<y)? x: y;
}
以f(a,n-1,0)呼叫此函數，其中 n是陣列a 的
長度，則worst case 時間複雜度以n表示為下
列何者？",O(n),O(n2),O(n!),O(2n),以上皆非,D,時間複雜度,medium,,,,此函數在每一層都分成「取 a[i]」與「不取 a[i]」兩條路徑遞迴下去，遞迴深度為 n，因此總呼叫次數是 2 的 n 次方，時間複雜度為 O(2^n)。,"C程式,時間複雜度,程式識讀",True
C Q.103,"int f(int k) {
for (int i=0; i<k; i++) {
if (i*i > k)
return i;
}
}
int p = 0;
for (int i=0; i<n; i++) {
p += f(i);
}
此程式的worst case 時間複雜度以n表示為下
列何者？",O(n3/2),O(nlog(n)),O(n1/2),O(n2),以上皆非,A,時間複雜度,hard,,,,f(k) 內部迴圈執行到 i*i>k 才停止，時間約為 O(sqrt(k))。外層迴圈把 f(0)~f(n-1) 全部呼叫過一次，總時間約為 sqrt(1)+sqrt(2)+...+sqrt(n) = O(n^1.5)。,"C程式,時間複雜度,程式識讀",True
C Q.104,"int f(int p, int q) {
if (q < p+5) return (p+q)/2;
int s = 0;
for (int i=p; i<q; i++) {
s += i;
}
int m = (p+q)/2;
return f(p,m)+f(m,q)+s;
}
以f(0,n)呼叫此函數，則 worst case時間複
雜度為下列何者？",O(2n),O(nlog(n)),O(n),O(n2),以上皆非,B,時間複雜度,hard,,,,"此函數是分治法：每次把區間 [p,q) 分成兩半遞迴處理，遞迴前後各花費 O(區間長度) 的時間做加總，符合 T(n)=2T(n/2)+O(n) 的遞迴關係式，由主定理可得 T(n)=O(n log n)。（注意時間複雜度看的是執行過程花費的時間，不是函數回傳的數值）","C程式,時間複雜度,程式識讀",True
C Q.105,"int s = 0;
for (int i=1; i<n; i++) {
for (int j=i; j<n; j+=i) {
s++;
}
}
printf(""%d"", s);
此程式片段的時間複雜度以 n 表示，則下列何者
為最準確的表示式？",O(n),O(nlog(n)),O(n2),O(n3),以上皆非,B,時間複雜度,hard,,,,外層迴圈 i 從 1 到 n-1，內層迴圈 j 以 i 為間隔跑，執行次數約為 n/i。總執行次數為 n*(1+1/2+1/3+...+1/(n-1))，這是調和級數，約為 n*ln(n)，時間複雜度為 O(n log n)。,"C程式,時間複雜度,程式識讀",True
C Q.106,"int f(int a[], int p, int q) {
int t=0;
for (int i=p; i<q; i++)
t += a[i];
return t;
}
s = 0;
for (i=0; i<n; i++) {
for (j=i+1; j<n; j++) {
s += f(a,i,j);
}
}
a是一個整數陣列，此程式片段的時間複雜度以 a
的長度n表示，則下列何者為最準確的表示式？",O(n),O(nlog(n)),O(n2),O(n3),以上皆非,D,時間複雜度,hard,,,,"f(a,p,q) 的時間是 O(q-p)，也就是區間長度。外層 i 從 0 到 n-1、內層 j 從 i+1 到 n-1，每次呼叫 f 的區間長度約為 n-i，總時間約為 sum((n-i)*(n-i)) 對所有 i 相加，量級為 O(n^3)。","C程式,時間複雜度,程式識讀",True
C Q.107,"int f(int a[], int n, int x) {
int p = n/2, q = 0;
while (p > 0) {
if (q+p<n && a[q+p] < x)
q += p;
p /= 2;
}
return q;
}
此函數被呼叫時，傳入的 a 是一個長度 n 的整數
陣列，而x是一個整數。此函數的時間複雜度以 a
的長度 n 來表示的話，則下列何者為其 worst
case時間複雜度？",O(1),O(log(n)),O(n),O(nlog(n)),以上皆非,B,時間複雜度,medium,,,,p 每次折半（p/=2），大約 log(n) 次後會變成 0 而結束迴圈，迴圈內部只有常數時間的判斷與加法，因此整體時間複雜度為 O(log n)。,"C程式,時間複雜度,程式識讀",True
C Q.108,"int f(char *a, char *b, int m, int n) {
for (int i=0; i<( q1 ); i++) {
if (a[i] < b[i]) return 1;
if (a[i] > b[i]) return 0;
}
return q2 ;
}
函數f定義為：m與n分別是字串a與b 的長度，
當a字串的「字典序」小於 b字串時回傳 1(或非
0整數)，請問程式中的 q1與q2為下列何者時可
以符合定義？","q1: (m<n)?m:n, q2: (a[i]<b[i])","q1: (m<n)?m:n, q2: (m<n)","q1: (m<n)?n:m, q2: (a[i]<b[i])","q1: (m<n)?n:m, q2: 0",以上皆非,B,程式理解,medium,,,,"比較兩字串的字典序時，只需要比較到較短字串的長度（min(m,n)）即可，因為超過較短字串長度的部分已經無法比較。若比較到其中一個字串結束都相同，字典序較小的會是「長度較短」的那個字串，因此 q2 應為 (m<n)。","C程式,程式理解,程式識讀",True
C Q.109,"// ensure len(a)==len(b)
int small(char *a, char *b, int n) {
int i = 0;
while (i<n && a[i]==b[i])
i++;
return ( ? );
}
此函數定義為： a 字串的「字典序」小於 b字串
時回傳 1(或非 0 整數)，輸入保證傳入的 a 與 b
長度相等。請問程式中的?處應填入下列何者？",a[i]<b[i] && i<n,i>=n || a[i]<b[i],i<n || a[i]<b[i],i<n && a[i]<b[i],以上皆非,D,程式理解,medium,,,,迴圈找出第一個字元不同的位置，但不能超出字串長度的範圍。迴圈結束後，若 i 已經等於 n，代表兩字串完全相同（不符合 a<b 的定義，應回傳假）；否則代表在 i 這個位置找到不同的字元，若 a[i]<b[i] 則 a 的字典序較小。因此答案需要同時檢查 i<n 且 a[i]<b[i]（用 && 而非 ||，且順序要先檢查範圍再取值，避免超界存取）。,"C程式,程式理解,程式識讀",True
C Q.110,"int f(int a, int b, int mod) {
int result = 1;
while (b) {
if ( q1 ) {
result = (result*a)%mod;
}
q2 ;
a = (a*a)%mod;
}
return result;
}
此函數利用 b 的二進位表示法來快速計算 a 的 b
次方除以 mod 的餘數，其中 a,b,mod 皆正整數
且mod不為0。請問程式中的 q1與 q2處應填入
下列何者？","q1: b%2==1, q2: b //= 10","q1: b&result, q2: b >>= 1","q1: b&1, q2: b >>= 1","q1: b^1, q2: b //= 2",以上皆非,C,位元運算,medium,,,,這是快速冪（利用二進位表示法計算次方取餘數）的標準寫法：每一輪先檢查 b 的最低位元是否為 1（b&1），若是就把 a 乘進結果；接著把 b 右移一位（b>>=1）處理下一個位元，同時讓 a 自乘取餘數，代表下一個位元對應的次方。,"C程式,位元運算,程式識讀",True
C Q.111,"int f(int a, int b, int mod) {
if (b == 0) return 1;
if (b&1) return f(a,b-1,mod)*a%mod;
?
}
此函數利用 b 的二進位表示法在 O(log(b))的時間
複雜度計算「a的b次方除以mod的餘數」，其中a>0,
b≥0, mod>0 皆為整數。請問程式中的?處應填入下
列何者？","return f(a,b-1,mod)*a%mod;","return f(a,b/2,mod)*f(a,b/2,mod)%mod;","int p=f(a,b-1,mod); return p*a%mod;","int p=f(a,b/2,mod); return p*p%mod;",以上皆非,D,遞迴,easy,,,,"b 為偶數時，可以先遞迴算出 a 的 b/2 次方（呼叫一次並存到暫存變數），再把結果自乘即可，這樣可以維持 O(log b) 的時間複雜度。若像選項 (B) 那樣呼叫兩次 f(a,b/2,mod)，會讓時間複雜度退化成 O(b)。","C程式,程式識讀,遞迴",True
C Q.112,"int s[10]= ? ;
int q[10], idx=-1, i;
for (i=0; i<n; i++) {
if (s[i] < 0) q[++idx] = s[i];
else if (idx<0 || q[idx] != -s[i]) {
idx = 99; break;
} else idx--;
}
printf(""%d"", (idx<0)? 1: 0);
程式中?為下列何者時輸出 1？","{-1,1,-2,-3,2,3}, n=6","{-1,-3,-2,2,3,-1,1}, n=7","{-1,-2,2,-3,-1,1,3,1}, n=8","{-1,-1,1,-2,3,-3,2,1}, n=8",以上皆非或程式錯誤,C,資料結構,hard,,,,"這段程式的行為類似檢查括號是否成對出現：負數視為左括號並壓入 stack，正數視為右括號，必須跟 stack 頂端的負數絕對值相同才能配對彈出，否則視為不平衡。逐一驗證各組測資，只有 (C) {-1,-2,2,-3,-1,1,3,1} 最終能讓 stack 完全清空（idx 回到 -1），因此輸出為 1。","C程式,程式識讀,資料結構",True
C Q.113,"int a[10]={4,-5,2,0,4,2,-2,1,3,-1};
int q = -999;
for (int i=1; i<10; i++) {
if (a[i-1] > 0)
a[i] += a[i-1];
if (a[i] > q) q = a[i];
}
printf(""%d %d"", a[7],q);
輸出為何？",5 10,7 12,7 10,5 12,以上皆非或程式錯誤,C,陣列,medium,,,,這是計算最大子陣列和的技巧：若前一項大於 0 就把它累加到目前這一項，否則維持不變；過程中持續記錄出現過的最大值 q。依序計算後，a[7]=7，出現過的最大值 q=10。,"C程式,程式識讀,陣列",True
C Q.114,"若p<q且兩者皆為在 int範圍內的正整數，現要
計算兩者的中點，考慮下面兩個寫法：
int m = (p + q)/2;
int c = p + (q-p)/2;
下列敘述何者正確？",m與c 必定相同,若q-p 是偶數，則 m與c 必定相同,若q-p 是奇數，則 m與c 必不相等,m與c 可能不同,以上皆非,D,變數與運算,hard,,,,當 p+q 的和超過 int 能表示的最大值時會發生溢位（overflow），(p+q)/2 會因此得到錯誤（甚至是負數）的結果，而 p+(q-p)/2 因為 q-p 不會溢位而能得到正確結果。這是二分搜尋中一個著名的計算中點的錯誤示範。,"C程式,程式識讀,變數與運算",True
C Q.115,"int a=40, b;
long long c,d;
long long int e;
若已有以上宣告，考慮以下指令：
b = 1 << a;
c = (long long)(1 << a);
d = 1ull << a;
e = (long long)1 << a;
有哪幾個可以正確得到 2 的40 次方？","b,c,d,e 都可以","只有c,e可以，b,d不可以","只有d,e可以，b,c不可以","只有e可以，b,c,d不可以",以上皆非,C,變數與運算,easy,,,,b 與 c 都是把移位運算 1<<a（此時 1 被視為 32 位元 int）計算完才轉型或指定，但 int 只有 32 個位元，左移 40 位早已超出範圍導致未定義行為（結果不正確）；d 用 1ull（unsigned long long，64 位元）直接位移，e 則是先把 1 轉型成 long long 再位移，兩者的運算過程都在 64 位元的範圍內進行，因此能得到正確的 2 的 40 次方。,"C程式,程式識讀,變數與運算",True
C Q.116,"int a[6] = {1,1,1,1,1,1};
int f(int i, int s) {
if (i == 6) {
return (s==3)? 1: 0;
}
int w1 = f(i+1,s);
int w2 = f(i+1,s+a[i]);
return w1+w2;
}
printf(""%d"", f(0,0));
輸出為何？",4,16,20,64,以上皆非或程式錯誤,C,遞迴,hard,,,,"此遞迴函數窮舉陣列（六個 1）所有可能的取或不取的子集合，檢查其總和是否為 3；因為每個元素都是 1，總和為 3 相當於恰好選出 3 個元素，組合數為 C(6,3)=20。","C程式,程式識讀,遞迴",True
C Q.117,"int f(int n, int i) {
if (i==0 || i==n)
return 1;
return f(n-1,i)+f(n-1,i-1);
}
f(5,2)的回傳值為何？",6,10,15,20,以上皆非或程式錯誤,B,遞迴,medium,,,,"此函數是巴斯卡三角形（Pascal's triangle）遞迴定義的直接實作，f(n,i) 即為組合數 C(n,i)。f(5,2)=C(5,2)=10。","C程式,程式識讀,遞迴",True
C Q.118,"int d[6][6]={0},i,j;
for (i=0; i<6; i++) {
d[i][0] = 1; d[i][i] = 1;
for (j=1; j<i; j++) {
d[i][j] = d[i-1][j-1]+d[i-1][j];
}
}
d[4][2]+d[5][3]的值為何？",13,14,15,16,以上皆非或程式錯誤,D,陣列,medium,,,,"這段程式用二維陣列建立巴斯卡三角形（也就是組合數表）：d[i][j] 即為 C(i,j)。d[4][2]=C(4,2)=6，d[5][3]=C(5,3)=10，總和為 16。","C程式,程式識讀,陣列",True
C Q.119,"#define n 100
int d[n+1][n+1] = {0}, mod=1000000007;
int f(int k, int i) {
if (d[k][i] > 0) return d[k][i];
if (i==0 || i==k)
d[k][i] = 1;
else
d[k][i]=(f(k-1,i)+f(k-1,i-1))%mod;
return d[k][i];
}
printf(""%d"", f(n,n/2))
下列何者最準確的以 n 來表達此程式的時間複雜
度？",O(n2),O(n3),O(2n),O(n!),以上皆非或程式錯誤,A,時間複雜度,hard,,,,"這是用記憶化（top-down DP）計算組合數 C(n, n/2)：因為每一組 (k,i) 參數只會真正遞迴計算一次（之後直接從表格 d 中讀取），所有可能的參數組合數量是 O(n^2)，因此整體時間複雜度為 O(n^2)（若不做記憶化，則會是指數時間 O(2^n)）。","C程式,時間複雜度,程式識讀",True
C Q.120,"int cmp(const void *x, const void *y) {
return (*(int*)x) - (*(int*)y);
}
int d[6],i, s=0;
for (i=0; i<6; i++)
d[i] = (i-2)*(i-2);
qsort(d, 6, sizeof(int), cmp);
若函數cmp宣告如上，執行後 d的內容為何？","[4,1,0,1,4,9]","[-4,-2,0,2,4,6]","[0,1,1,4,4,9]","[0,1,1,4,4,9,16]",以上皆非或程式錯誤,C,排序與搜尋,easy,,,,"比較函數 cmp 是由小到大排序（x-y）。陣列由 (i-2)^2（i 從 0 到 5）產生，得到 [4,1,0,1,4,9]，排序後為 [0,1,1,4,4,9]。","C程式,排序與搜尋,程式識讀",True
C Q.121,"int cmp(const void *x, const void *y) {
return (*(int*)x) - (*(int*)y);
}
int d[10]={3,-1,0,5,0,9,1,0,7,4},cnt=0;
qsort(d, 5, sizeof(int), cmp);
qsort(d+5, 5, sizeof(int), cmp);
for (int i=0; i<10;i++)
for (int j=i+1; j<10; j++)
if (d[i] > d[j]) cnt++;
printf(""%d"", cnt);
輸出為何？",15,10,7,5,以上皆非或程式錯誤,D,排序與搜尋,hard,,,,"陣列被切成前後兩半分別排序：前半 [3,-1,0,5,0] 排序後為 [-1,0,0,3,5]，後半 [9,1,0,7,4] 排序後為 [0,1,4,7,9]。之後統計逆序對（inversion，前面的值大於後面的值）：因為每一半內部已排序，只需要計算跨越前後兩半的逆序對，總共有 5 對。","C程式,排序與搜尋,程式識讀",True
C Q.122,"int cmp(const void *x, const void *y) {
return ( ? );
}
char d[10]=""ababcddba"";
qsort(d, 9, sizeof(char), cmp);
若要將d中字母大到小排序，?處應填下列何者？",(*(char*)x) <= (*(char*)y),(*(char*)x) >= (*(char*)y),(*y) - (*x),(*(char*)y) - (*(char*)x),以上皆非或程式錯誤,D,排序與搜尋,easy,,,,要把字元從大到小排序，比較函數需要回傳「y 減 x」（把兩個位置的順序反過來比較），並且要先把 const void* 轉型成 char* 才能安全地取值相減，因此正確寫法是 (*(char*)y)-(*(char*)x)。,"C程式,排序與搜尋,程式識讀",True
C Q.123,"int cmp(const void *x, const void *y) {
char *p=x, *q=y;
while (*p == *q && *p) p++,q++;
return (*p - *q);
}
char d[5][6]={""abcde"", ""abc"", ""baaa"",
""aba"", ""baa""};
qsort(d, 5, sizeof(char)*6, cmp);
printf(""%s %s %s"", d[0],d[2],d[4]);
輸出為何？",aba abc baaa,abc abcde baa,aba abcde baaa,aba abcde baa,以上皆非或程式錯誤,C,排序與搜尋,medium,,,,"這是字串陣列依照字典序排序（用逐字元比較的自訂比較函數）。五個字串排序後依序為 ""aba"", ""abc"", ""abcde"", ""baa"", ""baaa""，因此 d[0]=""aba""、d[2]=""abcde""、d[4]=""baaa""。","C程式,排序與搜尋,程式識讀",True
C Q.124,"q = ?
int what = 1, cnt = 1, n=11;
for (int i=1; i<n; i++) {
if (q[i] == q[i-1]) {
cnt++;
if (cnt > what) what = cnt;
} else {
cnt = 1;
}
}
printf(""%d"", what);
若 q 為字串""apaltpptpay""的字母由小排到大
後的字串，輸出為何？",1,2,3,4,以上皆非或程式錯誤,D,排序與搜尋,hard,,,,"把字串 q 依字母由小到大排序後，相同字母會排在一起；接著統計連續相同字母的最長長度，也就是原字串中出現次數最多的字母的出現次數。""apaltpptpay"" 中各字母出現次數為 a:3, p:4, l:1, t:2, y:1，最多的是 p 的 4 次，因此 what=4。","C程式,排序與搜尋,程式識讀",True
C Q.125,"char d[11]=""qwaearqtba"", n=10,i,j;
for (i=2; i<n-1; i+=2) {
char t1=d[i],t2=d[i+1];
for (j=i-2; j>=0; j-=2) {
if (d[j]>t1 || (d[j]==t1 && d[j+1]>t2))
d[j+2]=d[j], d[j+3]=d[j+1];
else break;
}
d[j+2]=t1, d[j+3]=t2;
}
printf(""%s"", d);
輸出為何？",aaabeqqrtw,aearbaqtqw,aearabqqtw,qwaearqtba,以上皆非或程式錯誤 (題目結束),B,排序與搜尋,medium,,,,"這是以兩個字元為一個單位的插入排序：把字串每兩個字元視為一個單位，依照字典序（先比第一個字元，相同再比第二個字元）用插入排序的方式排序，過程需要把較大的單位往後搬移騰出插入位置。依此規則模擬 ""qwaearqtba"" 的排序過程，最終結果為 ""aearbaqtqw""。","C程式,排序與搜尋,程式識讀",True
Python Q.001,"  a = 5
  b = 3+a*2-a//2
  a = a+b
  print(a,b)
  輸出為何？",15.5 10.5,16 11,10 5,10.5 5.5,執行錯誤,B,變數與運算,easy,,,,"先乘除後加減：a//2 是整數（向下取整）除法，5//2=2；a*2=10；所以 b=3+10-2=11。接著 a=a+b=5+11=16。最終輸出 a=16, b=11。","Python,程式識讀,變數與運算",True
Python Q.002,"    a = (5+2)*(7-2*3)
    b = (a-4*(a-5))*2
    print(a,b)
   輸出為何？",7 -2,105 -325,51 -9,0 0,執行錯誤,A,變數與運算,easy,,,,括號優先計算：7-2*3=1，(5+2)*1=7，所以 a=7。b=(a-4*(a-5))*2=(7-4*2)*2=(7-8)*2=-2。,"Python,程式識讀,變數與運算",True
Python Q.003,"    a = 5
    b = a+3 = 7
    print(a,b)
   輸出為何？",5 7,4 7,4 8,5 8,執行錯誤,E,變數與運算,easy,,,,"""b = a+3 = 7"" 是連續指定（chained assignment）的寫法，但 a+3 是一個運算式而不是可以被賦值的變數，Python 在剖析時會直接產生語法錯誤（SyntaxError）。","Python,程式識讀,變數與運算",True
Python Q.004,"q = []
head = 0
def push(q,c):
          x
#
def pop(q):
      c = q[head]
            y
      return c
#
此程式中 q 是用來當作一個先進先出的佇
列(queue)。push 與 pop 兩函數中所缺
的指令x與y應填入下列何者？",x: q[head]=c; y: head += 1,x: q.append(c); y: head += 1,x: q[head]=c; y: head -= 1,x: q.append(c); y: head -= 1,以上皆非,B,資料結構,medium,,,,這是簡易佇列（queue）的實作，用 Python 的 list 當容器：push 把新元素接到 list 尾端（q.append(c)），tail 端就是 list 本身的結尾，不需要額外維護；pop 則是取出 head 位置的值後把 head 往後移一格（head += 1）。,"Python,程式識讀,資料結構",True
Python Q.005,"a = 2
a = 3.5
b = 3//5*5
print(a,b)
輸出為何？",2 3,3.5 3,2 0,3.5 0,執行錯誤,D,流程控制,easy,,,,Python 變數沒有型別限制，a=3.5 會直接讓 a 變成浮點數 3.5（跟 C 語言不同，不會被截斷）。b 的計算 3//5*5 由左至右：3//5 是整數除法等於 0，0*5=0，所以 b=0。,"Python,流程控制,程式識讀",True
Python Q.006,"a = 13%5
b = -13%5
c = -13//5
print(a,b,c)
輸出為何？",3 -3 -3,3 2 -3,3 -3 -2,3 2 -2,執行錯誤,B,變數與運算,medium,,,,13%5=3 沒有疑義。Python 的 % 與 // 都是「向負無窮方向取整」（floor），餘數的正負號跟除數一致：-13%5，因為 -13 = -3*5+2，所以 -13%5=2；-13//5 = floor(-2.6) = -3。,"Python,程式識讀,變數與運算",True
Python Q.007,"a = 5
b = 3
a,b = b-1,a-1
print(a,b)
輸出為何？",2 1,3 4,2 4,不一定,執行錯誤,C,變數與運算,easy,,,,元組指定（tuple assignment）會先把等號右邊的值全部取出來，再依序指定給左邊的變數：b-1=3-1=2，a-1=5-1=4，因此新的 a=2、b=4。,"Python,程式識讀,變數與運算",True
Python Q.008,"s = [1,1,-3,2,4,-1,2,3,-5,2,-1,1]
q = []
h = 0
for v in s:
      if v > 0:
            q.append(v)
      else:
            while v < 0 and h<len(q):
                  v += q[h]; h += 1
print(sum(q[h:]))
輸出為何？",1,3,4,6,以上皆非或執行錯誤,B,資料結構,hard,,,,這是用 list 模擬佇列（queue）：正數壓入 q，負數則持續從 q 前端彈出來抵銷（用 h 當作前端指標），直到抵銷完或佇列空了。依序處理陣列後，q[h:] 剩下的元素總和是 3。,"Python,程式識讀,資料結構",True
Python Q.009,"q = []
h = 0
s = ''
for v in [3,12,-2,765,23,-1,-3]:
      if v > 0: q.append(str(v))
      else:
            s += q[h]
            h += 1
#
print(s)
輸出為何？",312765,780,31276523,1223765,以上皆非或執行錯誤,A,資料結構,medium,,,,"這是用 list 模擬佇列，正數轉成字串壓入，負數則從佇列前端彈出並串接到 s。依序處理 [3,12,-2,765,23,-1,-3] 後，s 為 ""312765""。","Python,程式識讀,資料結構",True
Python Q.010,"a = 1 < 2
b += a
print(a,b)
輸出為何？",True 1,1 1,0 0,不一定,執行錯誤,E,變數與運算,easy,,,,"""b += a"" 在還沒有任何地方定義過 b 的情況下執行，會產生 NameError（找不到變數 b），屬於執行錯誤。","Python,程式識讀,變數與運算",True
Python Q.011,"s = [1,1,-3,3,4,-1,2,3,-5,2,1,-1]
q = []
for v in s:
      if v > 0:
            q.append(v)
      else:
            while v < 0 and q:
                  v += q.pop()
print(sum(q))
輸出為何？",1,3,5,7,以上皆非或執行錯誤,C,資料結構,hard,,,,這是用 list 模擬 stack：正數壓入（append），負數則持續從 stack 頂端彈出（pop）來抵銷，直到抵銷完或 stack 空了。依序處理陣列後，stack 中剩下的元素總和是 5。,"Python,程式識讀,資料結構",True
Python Q.012,"s = input()
a = [s for s in input().split()]
print(s,a)
若輸入為以下內容
hello py
123 45
則輸出為何？","hello py [123,45]",hello 123 45,"hello ['123','45']","hello py ['123','45']",以上皆非或執行錯誤,D,串列,medium,,,,"第一行 input() 讀取第一行字串 ""hello py"" 存進 s；第二行的串列生成式 [s for s in input().split()] 中的 s 是這個生成式自己的區域變數（Python 3 的串列生成式有獨立作用域），跟外層的 s 互不影響，因此外層 s 仍是 ""hello py""，而 a 是讀取第二行 ""123 45"" 切開後的字串串列 ['123','45']。","Python,串列,程式識讀",True
